domain,aus_sid,india_sid,dist,aus_idx,india_idx,mnn
Archaean,Y+N_2007190230.0,mangalwar_26.5274_75.5,0.248,193,17845,True
Archaean,Y+N_2007190973.0,mangalwar_25.6906_74.4559,0.415,799,12764,True
Archaean,Y+N_2007190287.0,mangalwar_26.0272_74.84,0.433,239,11549,True
Archaean,Y+N_2007191335.0,mangalwar_26.1358_75.25,0.438,1084,17559,True
Archaean,Y+N_2007190855.0,mangalwar_24.0632_73.8576,0.454,705,8729,True
Archaean,Y+N_2007190039.0,mangalwar_24.0808_73.8772,0.566,31,8743,True
Archaean,Y+N_2007191462.0,mangalwar_26.0996_75.17,0.574,1194,17529,True
Archaean,Y+N_2007191159.0,mangalwar_25.4217_74.339,0.593,940,12927,True
Archaean,Y+N_2007190244.0,mangalwar_26.74_75.88,0.647,205,19396,True
Archaean,Y+N_2007190914.0,mangalwar_26.045_74.7308,0.659,752,10859,True
Archaean,Y+N_2007191057.0,mangalwar_26.1535_75.26,0.668,863,18283,True
Archaean,Y+N_2007191589.0,mangalwar_24.277_73.8192,0.763,1304,8524,True
Archaean,Y+N_2007190304.0,mangalwar_26.0272_74.84,0.809,253,11549,False
Archaean,Y+N_2007191377.0,mangalwar_25.5089_74.2794,0.824,1121,12625,True
Archaean,Y+N_2007191441.0,mangalwar_24.0808_73.8772,0.848,1176,8743,False
Archaean,Y+N_2007190984.0,mangalwar_26.2952_75.51,0.859,806,18739,True
Archaean,Y+N_2007190203.0,mangalwar_25.5269_74.9931,0.874,168,14092,True
Archaean,Y+N_2007190883.0,mangalwar_25.4761_74.8604,0.929,727,14409,False
Archaean,Y+N_2007190275.0,mangalwar_25.4762_74.9407,0.951,229,14413,True
Archaean,Y+N_2007190896.0,mangalwar_24.1717_73.9361,0.968,738,8811,True
Archaean,Y+N_2007191088.0,mangalwar_25.7951_74.9389,1.046,886,13920,True
Archaean,Y+N_2007190231.0,mangalwar_24.1169_73.8772,1.06,194,8769,True
Archaean,Y+N_2007190793.0,mangalwar_25.3855_74.359,1.084,655,12902,True
Archaean,Y+N_2007190016.0,mangalwar_24.2593_73.8388,1.103,13,8514,False
Archaean,Y+N_2007191554.0,mangalwar_24.0094_73.8772,1.123,1274,8691,True
Archaean,Y+N_2007190375.0,mangalwar_24.0997_73.8381,1.76,311,8754,False
Archaean,Y+N_2007191130.0,mangalwar_25.4577_74.9005,1.85,920,14398,False
Archaean,Y+N_2007190229.0,mangalwar_25.5089_74.3775,2.282,192,12630,True
Archaean,Y+N_2007190018.0,mangalwar_25.563_74.3971,2.611,15,12670,True
Archaean,Y+N_2007190418.0,mangalwar_24.1717_73.9361,3.533,344,8811,False
Palaeoproterozoic,WA_PP_2007190003.0,sandmata_25.2592_74.339,0.299,2,12810,True
Palaeoproterozoic,WA_PP_2007191253.0,sandmata_25.5634_74.6892,0.344,1015,13395,True
Palaeoproterozoic,WA_PP_2007190966.0,sandmata_25.458_74.669,0.347,792,13673,True
Palaeoproterozoic,WA_PP_2007190213.0,sandmata_25.5269_74.4559,0.365,177,12647,True
Palaeoproterozoic,WA_PP_2007190541.0,sandmata_25.2592_74.359,0.367,450,12811,True
Palaeoproterozoic,WA_PP_2007191419.0,sandmata_25.2255_74.32,0.398,1157,13147,True
Palaeoproterozoic,WA_PP_2007191192.0,sandmata_25.7087_74.8992,0.405,963,14216,True
Palaeoproterozoic,WA_PP_2007191503.0,sandmata_25.2255_74.4,0.418,1226,13151,True
Palaeoproterozoic,WA_PP_2007191003.0,sandmata_25.44_74.669,0.43,822,13661,True
Palaeoproterozoic,WA_PP_2007191392.0,sandmata_25.5811_74.8992,0.445,1133,14126,True
Palaeoproterozoic,WA_PP_2007191062.0,sandmata_25.7449_74.8196,0.46,867,14238,True
Palaeoproterozoic,WA_PP_2007191161.0,sandmata_25.1713_74.3,0.47,941,13107,True
Palaeoproterozoic,WA_PP_2007190076.0,sandmata_25.458_74.729,0.493,61,13676,True
Palaeoproterozoic,WA_PP_2007190075.0,sandmata_25.2592_74.419,0.522,60,12814,True
Palaeoproterozoic,WA_PP_2007191339.0,sandmata_25.6722_74.9588,0.522,1088,14193,True
Palaeoproterozoic,WA_PP_2007190499.0,sandmata_25.654_74.729,0.532,415,13462,True
Palaeoproterozoic,WA_PP_2007191006.0,sandmata_25.5452_74.7289,0.549,825,13384,True
Palaeoproterozoic,WA_PP_2007190683.0,sandmata_25.2592_74.32,0.576,565,12809,False
Palaeoproterozoic,WA_PP_2007191369.0,sandmata_25.5452_74.7289,0.582,1113,13384,False
Palaeoproterozoic,WA_PP_2007190327.0,sandmata_25.1713_74.32,0.584,273,13108,False
Palaeoproterozoic,WA_PP_2007190147.0,sandmata_25.5634_74.6892,0.599,122,13395,False
Palaeoproterozoic,WA_PP_2007190915.0,sandmata_25.7268_74.8395,0.653,753,14226,False
Palaeoproterozoic,WA_PP_2007191251.0,sandmata_25.6175_74.6893,0.667,1013,13434,True
Palaeoproterozoic,WA_PP_2007190004.0,sandmata_25.5452_74.7289,0.669,3,13384,False
Palaeoproterozoic,WA_PP_2007190292.0,sandmata_26.0091_75.07,0.684,244,17460,True
Palaeoproterozoic,WA_PP_2007190235.0,sandmata_25.5269_74.4559,0.692,198,12647,False
Palaeoproterozoic,WA_PP_2007190185.0,sandmata_25.5634_74.6892,0.705,155,13395,False
Palaeoproterozoic,WA_PP_2007190437.0,sandmata_25.5634_74.6892,0.712,362,13395,False
Palaeoproterozoic,WA_PP_2007191352.0,sandmata_25.6722_74.7798,0.722,1097,14184,True
Palaeoproterozoic,WA_PP_2007190309.0,sandmata_25.5634_74.6892,0.727,257,13395,False
Palaeoproterozoic,WA_PP_2007190989.0,sandmata_26.0272_75.01,0.759,809,17470,True
Palaeoproterozoic,WA_PP_2007190342.0,sandmata_26.0453_75.15,0.761,285,17490,False
Palaeoproterozoic,WA_PP_2007190282.0,sandmata_25.5452_74.7289,0.799,234,13384,False
Palaeoproterozoic,WA_PP_2007190167.0,sandmata_25.494_74.743,0.816,140,13703,False
Palaeoproterozoic,WA_PP_2007190976.0,sandmata_25.494_74.743,0.848,802,13703,False
Palaeoproterozoic,WA_PP_2007191415.0,sandmata_25.5453_74.5099,0.86,1154,13373,False
Palaeoproterozoic,WA_PP_2007190007.0,sandmata_25.5091_74.7289,0.871,5,13358,True
Palaeoproterozoic,WA_PP_2007190917.0,sandmata_25.5452_74.7289,0.881,755,13384,False
Palaeoproterozoic,WA_PP_2007191496.0,sandmata_26.0091_74.96,0.882,1221,11542,False
Palaeoproterozoic,WA_PP_2007191347.0,sandmata_25.2592_74.419,0.897,1093,12814,False
Palaeoproterozoic,WA_PP_2007190305.0,sandmata_25.6538_74.7092,0.939,254,13461,True
Palaeoproterozoic,WA_PP_2007190034.0,sandmata_25.1352_74.26,0.976,27,13079,False
Palaeoproterozoic,WA_PP_2007190932.0,sandmata_26.0453_75.15,1.003,769,17490,False
Palaeoproterozoic,WA_PP_2007190190.0,sandmata_25.1352_74.28,1.014,159,13080,True
Palaeoproterozoic,WA_PP_2007190048.0,sandmata_25.5452_74.7289,1.078,36,13384,False
Palaeoproterozoic,WA_PP_2007190339.0,sandmata_25.5452_74.7289,1.079,284,13384,False
Palaeoproterozoic,WA_PP_2007190135.0,sandmata_25.6538_74.7092,1.093,112,13461,False
Palaeoproterozoic,WA_PP_2007190336.0,sandmata_25.527_74.7288,1.154,281,13371,False
Palaeoproterozoic,WA_PP_2007190411.0,sandmata_25.6538_74.7092,1.183,340,13461,False
Palaeoproterozoic,WA_PP_2007191032.0,sandmata_25.2255_74.2428,1.245,846,12428,True
Palaeoproterozoic,WA_PP_2007190658.0,sandmata_25.2592_74.3,1.416,545,12808,False
Palaeoproterozoic,WA_PP_2007191135.0,sandmata_25.476_74.689,1.575,923,13687,False
Palaeoproterozoic,WA_PP_2007190386.0,sandmata_25.6539_74.6893,1.591,320,13460,False
Palaeoproterozoic,WA_PP_2007190139.0,sandmata_25.2592_74.3,1.727,116,12808,False
Palaeoproterozoic,WA_PP_2007190432.0,sandmata_25.6359_74.6095,2.006,357,13443,False
